tier,workload,baseline_policy,compare_policy,tail_mean_ttft_ms,evicpress_mean_ttft_ms,delta_mean_ttft_ms,delta_pct_mean_ttft_ms,tail_mean_tpot_ms,evicpress_mean_tpot_ms,delta_mean_tpot_ms,delta_pct_mean_tpot_ms,tail_mean_latency_ms,evicpress_mean_latency_ms,delta_mean_latency_ms,delta_pct_mean_latency_ms,tail_p99_ttft_ms,evicpress_p99_ttft_ms,delta_p99_ttft_ms,delta_pct_p99_ttft_ms,tail_p99_tpot_ms,evicpress_p99_tpot_ms,delta_p99_tpot_ms,delta_pct_p99_tpot_ms,tail_tier_transition_mb_total,evicpress_tier_transition_mb_total,delta_tier_transition_mb_total,delta_pct_tier_transition_mb_total,harp_mean_ttft_ms,harp_mean_tpot_ms,harp_mean_latency_ms,harp_p99_ttft_ms,harp_p99_tpot_ms,harp_tier_transition_mb_total,largest_kv_mean_ttft_ms,largest_kv_mean_tpot_ms,largest_kv_mean_latency_ms,largest_kv_p99_ttft_ms,largest_kv_p99_tpot_ms,largest_kv_tier_transition_mb_total,lru_mean_ttft_ms,lru_mean_tpot_ms,lru_mean_latency_ms,lru_p99_ttft_ms,lru_p99_tpot_ms,lru_tier_transition_mb_total,oldest_mean_ttft_ms,oldest_mean_tpot_ms,oldest_mean_latency_ms,oldest_p99_ttft_ms,oldest_p99_tpot_ms,oldest_tier_transition_mb_total,random_mean_ttft_ms,random_mean_tpot_ms,random_mean_latency_ms,random_p99_ttft_ms,random_p99_tpot_ms,random_tier_transition_mb_total,smallest_kv_mean_ttft_ms,smallest_kv_mean_tpot_ms,smallest_kv_mean_latency_ms,smallest_kv_p99_ttft_ms,smallest_kv_p99_tpot_ms,smallest_kv_tier_transition_mb_total
pcie_nvme,sharegpt_1000,tail,largest_kv,237465.389955052,,65982.97548787901,27.786354676935627,57.66359117,,21.965041812999992,38.09169940221743,250686.608137557,,71214.67532155797,28.407849885016983,502077.54145981,,174611.81375221,34.777857867236875,177.17548883999993,,136.1924382,76.86866794706006,43704.0,,94064.0,215.2297272560864,,,,,,,303448.365442931,79.62863298299999,321901.28345911496,676689.35521202,313.3679270399999,137768.0,,,,,,,,,,,,,,,,,,,,,,,,
pcie_nvme,sharegpt_1000,tail,lru,237465.389955052,,98961.434829453,41.674045572782056,57.66359117,,26.469864476999994,45.90394725670707,250686.608137557,,104762.26030836703,41.79013034907783,502077.54145981,,199491.50287443993,39.73320581008476,177.17548883999993,,174.41967551999997,98.44458545702751,43704.0,,5140.0,11.76093721398499,,,,,,,,,,,,,336426.824784505,84.13345564699999,355448.868445924,701569.0443342499,351.5951643599999,48844.0,,,,,,,,,,,,,,,,,,
pcie_nvme,sharegpt_1000,tail,oldest,237465.389955052,,594271.276741025,250.2559538691133,57.66359117,,175.768705871,304.81748067478196,250686.608137557,,634010.464471464,252.9095866674973,502077.54145981,,1378861.32707049,274.6311502126538,177.17548883999993,,992.9016466899997,560.4057610850728,43704.0,,67492.0,154.42980047592897,,,,,,,,,,,,,,,,,,,831736.666696077,233.432297041,884697.072609021,1880938.8685303,1170.0771355299996,111196.0,,,,,,,,,,,,
pcie_nvme,sharegpt_1000,tail,random,237465.389955052,,82083.11719839502,34.56634973792682,57.66359117,,29.759972530000006,51.60964124184291,250686.608137557,,88703.15080190398,35.38408033078125,502077.54145981,,216429.22753899998,43.10673345589679,177.17548883999993,,164.16564927,92.65708837312783,43704.0,,6648.0,15.211422295442064,,,,,,,,,,,,,,,,,,,,,,,,,319548.507153447,87.4235637,339389.75893946097,718506.76899881,341.3411381099999,50352.0,,,,,,
pcie_nvme,sharegpt_1000,tail,smallest_kv,237465.389955052,,89299.02996425296,37.605071619555034,57.66359117,,30.37631443099999,52.67849923090385,250686.608137557,,96275.38306299096,38.40467736918865,502077.54145981,,200294.53220043995,39.89314710593822,177.17548883999993,,155.2941924799999,87.64993030172467,43704.0,,-20224.0,-46.274940508877904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326764.41991930496,88.03990560099999,346961.99120054796,702372.0736602499,332.46968131999984,23480.0
ssd,sharegpt_1000,tail,evicpress,234165.079606838,391094.229198646,156929.14959180797,67.01646114582552,57.06730672,110.322976793,53.255670073,93.3208050877506,247239.008773712,415388.716490268,168149.707716556,68.01099411883533,494919.68592981,877252.8870041299,382333.20107431995,77.25156463639695,175.77531511999993,553.8289882999999,378.0536731799999,215.0777957200115,43704.0,78783.0,35079.0,80.26496430532674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssd,sharegpt_1000,tail,harp,234165.079606838,,-118367.988047114,-50.5489495896883,57.06730672,,-11.048641424000003,-19.360719927102956,247239.008773712,,-119609.34029336901,-48.37802128661771,494919.68592981,,-249186.35637151002,-50.348847187874824,175.77531511999993,,-82.45133176999995,-46.90723024089663,43704.0,,2152.1214809417725,4.924312376308284,115797.091559724,46.018665295999995,127629.668480343,245733.32955829997,93.32398334999998,45856.12148094177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssd,sharegpt_1000,tail,largest_kv,234165.079606838,,58475.267390076944,24.971813683003727,57.06730672,,20.029570407,35.09815261700509,247239.008773712,,63287.732132417004,25.597793991457774,494919.68592981,,158223.71802104992,31.969574563152324,175.77531511999993,,131.11187612000006,74.59060791925839,43704.0,,94064.0,215.2297272560864,,,,,,,292640.34699691494,77.096877127,310526.740906129,653143.4039508599,306.88719124,137768.0,,,,,,,,,,,,,,,,,,,,,,,,
ssd,sharegpt_1000,tail,lru,234165.079606838,,98575.50348724198,42.096585730353034,57.06730672,,26.208833600999988,45.92617929139935,247239.008773712,,104333.44337461996,42.19942633329039,494919.68592981,,198551.81216744002,40.117986374783,175.77531511999993,,171.50500538999992,97.57058621850018,43704.0,,5140.0,11.76093721398499,,,,,,,,,,,,,332740.58309408,83.27614032099999,351572.45214833197,693471.49809725,347.28032050999985,48844.0,,,,,,,,,,,,,,,,,,
ssd,sharegpt_1000,tail,oldest,234165.079606838,,589054.0097466931,251.55501867986115,57.06730672,,174.10971704899998,305.09538132448944,247239.008773712,,628443.6361990849,254.18466095464504,494919.68592981,,1367179.86731349,276.2427735613218,175.77531511999993,,981.6175663799997,558.4501815342273,43704.0,,67492.0,154.42980047592897,,,,,,,,,,,,,,,,,,,823219.089353531,231.177023769,875682.6449727969,1862099.5532433,1157.3928814999997,111196.0,,,,,,,,,,,,
ssd,sharegpt_1000,tail,random,234165.079606838,,81629.09651920997,34.859636909254284,57.06730672,,29.222664201999997,51.20736527024242,247239.008773712,,87694.23775805501,35.46941811205773,494919.68592981,,200234.93126489996,40.458065612952296,175.77531511999993,,168.81526822999993,96.04037296974923,43704.0,,12220.0,27.960827384221126,,,,,,,,,,,,,,,,,,,,,,,,,315794.17612604797,86.289970922,334933.246531767,695154.61719471,344.59058334999986,55924.0,,,,,,
ssd,sharegpt_1000,tail,smallest_kv,234165.079606838,,91055.65257756796,38.88523973363148,57.06730672,,30.65117023599999,53.7105603851073,247239.008773712,,98098.93818392899,39.67777523073433,494919.68592981,,204098.17255443992,41.238645048236236,175.77531511999993,,156.33504654999993,88.94027380538141,43704.0,,-20224.0,-46.274940508877904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325220.73218440596,87.71847695599999,345337.946957641,699017.8584842499,332.11036166999986,23480.0
